日期2,收盘,开盘,高,低,交易量,涨跌幅,日期
2021/6/8,204930,204500,205970,204270,0.69K,0.0002,20210608
2021/6/7,204890,205800,206180,203850,0.26K,0.0096,20210607
2021/6/4,202950,201800,204300,201800,0.09K,-0.0124,20210604
2021/6/3,205500,207050,207050,204230,0.15K,-0.008,20210603
2021/6/2,207160,207780,208180,205540,0.35K,0.0069,20210602
2021/6/1,205740,207000,208210,204350,0.33K,-0.0144,20210601
2021/5/31,208750,207680,211960,206210,1.48K,0.0136,20210531
2021/5/28,205940,198970,210180,198660,1.34K,0.0358,20210528
2021/5/27,198820,198300,199600,197400,0.56K,0.0074,20210527
2021/5/26,197350,196250,198600,195680,1.02K,0.005,20210526
2021/5/25,196360,192600,197580,192600,1.28K,0.0057,20210525
2021/5/24,195240,197350,198610,191890,2.40K,-0.0036,20210524
2021/5/21,195950,196800,198800,193780,3.57K,0.005,20210521
2021/5/20,194970,197420,197840,192580,4.33K,-0.0217,20210520
2021/5/19,199290,200480,200480,198140,3.62K,0.0031,20210519
2021/5/18,198670,199210,199790,197520,3.57K,0.0089,20210518
2021/5/17,196910,194050,197400,194050,0.03K,0.0283,20210517
2021/5/14,191500,191890,195000,190200,0.13K,0.0006,20210514
2021/5/13,191390,192000,192000,190170,0.06K,-0.0195,20210513
2021/5/12,195200,195820,196600,194630,0.13K,0.0113,20210512
2021/5/11,193020,193080,194080,191910,0.30K,-0.0123,20210511
2021/5/10,195420,194860,196950,193800,0.53K,-0.0101,20210510
2021/5/7,197410,198270,199500,195200,0.33K,0.0011,20210507
2021/5/6,197190,198000,199990,195910,0.51K,0.0275,20210506
2021/4/30,191910,191850,197400,189890,1.08K,0.0099,20210430
